zip,GEO_NAME,med_home_sale_1_12,med_home_sale_1_15,med_home_sale_1_18,pop_2011,pop_2014,pop_2017,med_hh_inc_11,med_hh_inc_14,med_hh_inc_17,total_units_11,total_units_14,total_units_17,ownocc_units_11,ownocc_units_14,ownocc_units_17,rent_units_11,rent_units_14,rent_units_17,median_gross_rent_11,median_gross_rent_14,median_gross_rent_17
91945,Lemon Grove California,236,360,445,25343,26027,26983,50512,52376,60739,24814,25588,26621,14387,14327,15459,10427,11261,11162,1054,1153,1212
91950,National City California,200,295,423,60003,61262,62386,37072,39533,42942,56588,57014,57914,21814,20640,21072,34774,36374,36842,909,986,1075
91977,Spring Valley California,234,350,456,58402,59481,61377,61656,60124,60986,57930,58954,60773,34650,33105,34211,23280,25849,26562,1176,1228,1280
91978,Spring Valley California,265,445,520,8871,9812,9829,72579,66483,68206,8863,9804,9810,5388,5987,6327,3475,3817,3483,1471,1612,1660
92003,Bonsall California,553,678,550,3841,4306,5161,77042,69205,70817,3705,4189,5051,2681,3069,3246,1024,1120,1805,1000,1255,1558
92007,Cardiff By the Sea California,575,697,1260,11094,11782,11301,87857,93889,105469,11094,11779,11276,6936,7632,6642,4158,4147,4634,1743,1846,1951
92008,Carlsbad California,500,685,864,26343,26464,27537,62957,66000,81073,25939,26177,27332,13216,13277,13841,12723,12900,13491,1434,1508,1744
92009,Carlsbad California,500,710,806,39781,43627,44632,101170,102212,120090,39678,43489,44437,31257,32267,33290,8421,11222,11147,1684,1845,1978
92010,Carlsbad California,408,537,723,14194,15283,15694,87442,95806,101402,14123,15200,15615,10192,10571,11071,3931,4629,4544,1703,1852,2225
92011,Carlsbad California,673,690,880,21982,23883,24895,96329,102030,110505,21982,23883,24895,15200,15336,16649,6782,8547,8246,1718,1916,2123
92014,Del Mar California,1050,1250,1663,13333,13525,14048,126901,114777,128679,13274,13512,14048,10004,10259,9740,3270,3253,4308,1906,1905,2137
92019,El Cajon California,290,405,480,42914,44357,43116,75715,74797,80791,42442,43909,42740,28316,28131,28483,14126,15778,14257,1434,1434,1552
92020,El Cajon California,267,380,480,56836,58305,58862,49444,49851,52264,55420,56826,57437,22083,20813,21720,33337,36013,35717,1062,1101,1176
92021,El Cajon California,257,351,459,63397,66854,71127,52909,50035,54154,62205,65474,69784,34325,31297,33087,27880,34177,36697,1066,1135,1266
92024,Encinitas California,630,855,940,48214,49226,51309,88615,92402,103417,47801,48879,51006,33785,34518,34869,14016,14361,16137,1634,1696,1802
92025,Escondido California,295,406,480,47937,49734,53470,45998,45433,55703,46854,48445,52181,19756,18110,20673,27098,30335,31508,1065,1122,1247
92026,Escondido California,270,375,496,48713,49981,48757,58196,53820,67122,48240,49436,48091,30272,29059,27652,17968,20377,20439,1230,1272,1375
92027,Escondido California,253,362,445,54956,56892,57746,56857,53473,60802,54447,56265,57075,34053,30440,32384,20394,25825,24691,1129,1191,1317
92028,Fallbrook California,285,465,570,47278,48335,48015,66508,57223,64801,46733,47976,47738,31294,30015,30978,15439,17961,16760,1092,1088,1167
92029,Escondido California,386,567,719,20170,19528,18615,75304,68108,85363,20048,19377,18479,15518,14640,13904,4530,4737,4575,1372,1395,1665
92037,La Jolla California,745,1146,1400,43149,39241,39893,96519,95306,107094,37030,37769,39621,22674,22012,23722,14356,15757,15899,1608,1759,1916
92040,Lakeside California,289,427,493,41024,42323,44243,65128,64787,70513,40717,41889,43802,26714,26636,28770,14003,15253,15032,1105,1167,1248
92054,Oceanside California,346,512,601,42829,42992,43554,51105,50568,56170,42166,41990,42529,14506,14112,15829,27660,27878,26700,1200,1231,1358
92055,Camp Pendleton California,,,,12107,12725,11959,47197,48147,-,1001,650,390,21,0,0,980,650,390,1709,1947,-
